log_price,accommodates,bathrooms,cleaning_fee,latitude,longitude,number_of_reviews,review_scores_rating,bedrooms,beds
5.521460918,4,1.0,True,34.08881117,-118.3682532,71,95.0,2.0,2.0
4.682131227,2,1.0,True,38.90304376,-77.05282924,93,96.0,0.0,1.0
4.905274778,3,1.0,True,37.75246783,-122.4117295,68,97.0,1.0,1.0
4.17438727,1,1.0,False,40.72775222,-73.98253471,1,100.0,1.0,1.0
5.669880923,4,2.0,True,37.77423602,-122.4105896,39,96.0,2.0,2.0
4.317488114,2,4.0,False,40.85961414,-73.90797411,20,87.0,1.0,1.0
5.616771098,6,2.0,True,40.72345674,-73.9959018,11,98.0,2.0,3.0
5.616771098,6,3.0,True,37.75821934,-122.4854092,27,99.0,3.0,3.0
3.891820298,2,1.0,True,37.75418395,-122.4065138,1,100.0,1.0,1.0
3.912023005,2,2.0,False,40.71330149,-73.99647636,1,80.0,1.0,1.0
4.510859507,6,1.0,True,42.23596855,-71.13151374,16,85.0,2.0,2.0
4.007333185,2,1.0,True,41.99104283,-87.66274347,21,95.0,1.0,1.0
4.007333185,4,1.0,False,34.19985703,-118.431107,32,90.0,1.0,2.0
4.553876892,2,1.0,True,34.10601963,-118.3365687,9,95.0,0.0,1.0
5.105945474,4,1.0,True,40.79901575,-73.96034349,4,100.0,1.0,2.0
4.49980967,2,1.0,True,34.08924776,-118.2907116,20,97.0,0.0,1.0
4.553876892,2,1.0,True,37.75091795,-122.4274443,106,97.0,1.0,1.0
4.744932128,8,1.0,True,40.68899773,-73.91767704,45,98.0,3.0,3.0
4.248495242,2,1.0,True,33.77510402,-118.1934907,13,95.0,0.0,1.0
5.783825182,4,2.0,True,37.78898574,-122.3893313,26,97.0,2.0,2.0
5.105945474,4,1.0,True,34.08341639,-118.3778394,4,100.0,1.0,2.0
5.521460918,10,1.0,True,40.797722,-73.94116257,15,88.0,4.0,5.0
3.912023005,3,1.0,True,34.02559008,-118.4062582,18,85.0,1.0,2.0
5.521460918,5,1.5,True,40.64917045,-73.97652764,12,91.0,3.0,3.0
4.934473933,2,1.0,True,33.7706951,-118.1857557,104,96.0,0.0,1.0
4.787491743,3,1.0,True,40.69717057,-73.96588679,11,93.0,1.0,2.0
5.075173815,4,1.0,True,40.72917223,-73.95589093,1,100.0,1.0,2.0
4.276666119,3,1.5,True,41.93721015,-87.77854356,4,100.0,1.0,2.0
5.135798437,2,1.0,True,40.759242,-73.98923248,6,90.0,1.0,1.0
4.787491743,4,1.0,True,40.71682344,-73.99842885,33,89.0,1.0,2.0
3.737669618,2,1.0,False,34.19353329,-118.4599578,2,100.0,1.0,1.0
4.532599493,4,1.0,True,34.16059223,-118.1264882,89,95.0,1.0,2.0
4.941642423,4,1.0,True,41.88724094,-87.63114324,1,80.0,1.0,2.0
4.905274778,2,1.0,True,34.00748871,-118.4706629,50,99.0,0.0,1.0
4.691347882,5,1.0,True,34.16990942,-118.3629008,15,93.0,2.0,4.0
4.234106505,2,1.0,True,40.81944488,-73.9408013,17,92.0,1.0,1.0
4.382026635,2,1.0,True,40.64285537,-73.97781143,4,95.0,1.0,1.0
4.787491743,4,1.0,True,40.79720411,-73.93617057,6,97.0,0.0,2.0
4.553876892,2,1.0,False,40.74839735,-73.91307388,13,93.0,1.0,1.0
5.347107531,2,1.0,False,40.76194744,-73.97148113,82,98.0,0.0,1.0
4.828313737,2,1.0,True,40.79720054,-73.97231324,25,93.0,1.0,1.0
4.382026635,2,1.0,False,40.72444333,-73.98135528,1,60.0,1.0,1.0
4.605170186,4,1.0,True,40.70253257,-73.92691739,4,95.0,2.0,3.0
4.317488114,2,1.0,False,37.74059998,-122.4879851,4,95.0,1.0,1.0
4.787491743,5,1.0,True,41.92311357,-87.79904411,6,93.0,2.0,2.0
4.59511985,2,1.0,False,40.75429367,-73.99198229,2,90.0,1.0,2.0
4.317488114,1,1.0,False,37.75981802,-122.4169246,3,93.0,1.0,1.0
3.912023005,2,1.0,False,33.77199083,-118.1876051,7,94.0,2.0,4.0
5.857933154,4,2.0,True,37.80393648,-122.4060252,24,94.0,2.0,2.0
5.068904202,4,1.0,True,37.73567302,-122.4230005,64,98.0,1.0,1.0
4.262679877,2,1.0,True,34.09297207,-118.3363777,38,98.0,1.0,1.0
3.988984047,2,1.0,True,41.89528719,-87.66172691,4,100.0,1.0,1.0
4.094344562,4,2.0,True,40.6735636,-73.92130721,10,96.0,1.0,2.0
4.369447852,4,1.0,True,33.90883017,-118.3442442,7,86.0,2.0,2.0
5.616771098,2,1.0,False,40.72768088,-73.98900783,1,80.0,1.0,2.0
4.59511985,2,1.0,True,34.0526291,-118.2718191,10,96.0,0.0,1.0
5.164785974,6,1.0,True,40.68753172,-73.93655846,54,96.0,2.0,2.0
4.094344562,1,1.0,True,40.7208318,-73.97894977,2,80.0,3.0,1.0
5.293304825,4,2.0,True,42.35809764,-71.05490794,23,98.0,2.0,2.0
4.828313737,2,1.0,False,41.90846054,-87.6706849,1,100.0,1.0,1.0
3.688879454,1,1.0,True,40.82533577,-73.94722877,2,90.0,1.0,1.0
4.86753445,3,1.0,True,41.88912969,-87.66763217,138,90.0,2.0,3.0
4.49980967,2,1.0,True,40.77815558,-73.95047888,15,97.0,1.0,1.0
5.991464547,6,2.5,False,38.89184588,-76.99055966,2,90.0,3.0,3.0
3.688879454,1,1.0,False,40.69360302,-73.94653232,1,100.0,1.0,1.0
4.382026635,2,1.0,True,42.37098016,-71.03659928,87,86.0,1.0,1.0
